-362.30	295.34
-47.94	-41.51
-48.12	-35.67
-41.50	-34.77
-198.53	71.52
-170.07	204.09
-5.13	-52.09
-106.78	-13.48
-366.13	295.82
-43.23	-34.29
-363.27	318.02
-59.31	2.32
1.64	11.44
-299.57	248.90
-279.26	229.87
-7.35	-53.00
-372.21	292.73
-344.39	293.93
81.95	-4.28
-298.82	247.71
25.71	-88.63
-373.82	295.01
-53.72	-28.86
0.17	18.80
-54.37	-28.15
-374.96	295.89
-66.82	-46.29
-14.66	-50.50
51.52	-116.14
-362.97	294.56
-47.71	-40.45
-49.01	-41.04
-307.74	230.03
-1.21	-13.56
-57.71	-4.06
44.92	90.90
-45.70	-44.35
2.40	13.96
0.49	0.82
0.15	14.72
-65.89	57.22
-274.09	137.18
-361.18	293.60
-66.58	-47.21
-278.19	288.12
-16.30	-16.26
-50.93	-40.03
-346.02	295.78
0.61	1.58
-111.39	121.26
4.05	-60.60
-34.50	-18.29
123.49	-145.02
138.67	-147.48
33.06	-81.32
-25.67	-46.65
196.83	-43.29
2.02	14.84
-51.60	-14.23
1.82	11.55
